date,hour,tweet
29-04-20,6:47:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
29-04-20,8:16:00,"b'""Suriyeli"" deyip \xc3\xb6lmesini normalle\xc5\x9ftirdiniz.T\xc3\xbcrk olmayan b\xc3\xbct\xc3\xbcn \xc4\xb1rklar \xc3\xb6l\xc3\xbcm\xc3\xbc m\xc3\xbc hak ediyor? Suriyelilerden bu kadar\xe2\x80\xa6 https://t.co/n7PP7iAmyM'"
29-04-20,8:50:00,b'@ismailsaymaz Suriyeli d\xc3\xbc\xc5\x9fmani fa\xc5\x9fizan e\xc4\x9filimde 1 numarayken...Suriyeli hak Arama?? ikiy\xc3\xbczl\xc3\xbcl\xc3\xbck Nobeli verilseydi..\xe2\x80\xa6 https://t.co/XSxqlp8taC'
29-04-20,10:08:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
29-04-20,12:11:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
29-04-20,12:29:00,"b'RT @deilangi: Bu \xc3\xa7ocuklar art\xc4\xb1k yetenek s\xc4\xb1navlar\xc4\xb1yla istedikleri b\xc3\xb6l\xc3\xbcmlere girmeyi hak ediyorlar? Yoruldular, b\xc4\xb1kt\xc4\xb1lar. Suriyeli \xc3\xa7ocuklar\xc4\xb1m\xe2\x80\xa6'"
29-04-20,12:45:00,"b'RT @deilangi: Bu \xc3\xa7ocuklar art\xc4\xb1k yetenek s\xc4\xb1navlar\xc4\xb1yla istedikleri b\xc3\xb6l\xc3\xbcmlere girmeyi hak ediyorlar? Yoruldular, b\xc4\xb1kt\xc4\xb1lar. Suriyeli \xc3\xa7ocuklar\xc4\xb1m\xe2\x80\xa6'"
29-04-20,1:00:00,"b'RT @deilangi: Bu \xc3\xa7ocuklar art\xc4\xb1k yetenek s\xc4\xb1navlar\xc4\xb1yla istedikleri b\xc3\xb6l\xc3\xbcmlere girmeyi hak ediyorlar? Yoruldular, b\xc4\xb1kt\xc4\xb1lar. Suriyeli \xc3\xa7ocuklar\xc4\xb1m\xe2\x80\xa6'"
29-04-20,1:14:00,"b'RT @deilangi: Bu \xc3\xa7ocuklar art\xc4\xb1k yetenek s\xc4\xb1navlar\xc4\xb1yla istedikleri b\xc3\xb6l\xc3\xbcmlere girmeyi hak ediyorlar? Yoruldular, b\xc4\xb1kt\xc4\xb1lar. Suriyeli \xc3\xa7ocuklar\xc4\xb1m\xe2\x80\xa6'"
29-04-20,2:31:00,"b'RT @deilangi: Bu \xc3\xa7ocuklar art\xc4\xb1k yetenek s\xc4\xb1navlar\xc4\xb1yla istedikleri b\xc3\xb6l\xc3\xbcmlere girmeyi hak ediyorlar? Yoruldular, b\xc4\xb1kt\xc4\xb1lar. Suriyeli \xc3\xa7ocuklar\xc4\xb1m\xe2\x80\xa6'"
